1 | Patrat | Jolly | Cheri Berry | Super Fang | Crunch | Hypnosis | Sand-Attack | Atk/Spd
523 | Hippowdon | Lonely | Sitrus Berry | Crunch | Rock Slide | Protect | Curse | HP/Atk
524 | Probopass | Bold | Sitrus Berry | Block | Iron Defense | Flash Cannon | Discharge | HP/Def
525 | Dusknoir | Brave | Iron Ball | Shadow Sneak | Fire Punch | Fling | Trick Room | HP/Atk
526 | Mienshao | Jolly | King's Rock | Fake Out | Fling | Acrobatics | Hi Jump Kick | Atk/Spd
527 | Beartic | Rash | NeverMeltIce | Hail | Icy Wind | Grass Knot | Blizzard | HP/SpA
528 | Bouffalant | Brave | Chople Berry | Pursuit | Revenge | Retaliate | Swagger | HP/Atk
529 | Aggron | Brave | King's Rock | Thunder Wave | Iron Head | Fling | Stomp | HP/Atk
530 | Walrein | Calm | Metronome | Ice Ball | Earthquake | Encore | Curse | Atk/SpD
531 | Mamoswine | Brave | Zoom Lens | Stone Edge | Bulldoze | Blizzard | Ice Fang | Atk/Def/SpD
532 | Lapras | Modest | Mystic Water | Surf | Ice Beam | Rest | Sleep Talk | Def/SpA/SpD
533 | Crobat | Timid | Sharp Beak | Air Slash | Shadow Ball | Confuse Ray | Nasty Plot | Spd/SpA
534 | Magnezone | Quiet | Shuca Berry | Charge Beam | Thunder Wave | Flash Cannon | Mirror Coat | HP/SpA
535 | Rhyperior | Lonely | Hard Stone | Rock Wrecker | Rock Polish |  |  | Atk/Spd
536 | Tangrowth | Naughty | Yache Berry | Wring Out | Tickle | Power Whip | Bulldoze | Atk/Spd
537 | Porygon-z | Modest | Choice Specs | Hyper Beam |  |  |  | Spd/SpA
538 | Vanilluxe | Lonely | Occa Berry | Avalanche | Ice Shard | Natural Gift | Giga Impact | HP/Atk
539 | Eelektross | Naughty | Expert Belt | Crunch | Wild Charge | Brick Break | Coil | HP/Atk
540 | Gyarados | Naughty | Chesto Berry | Waterfall | Rest | Bulldoze | Giga Impact | Atk/Spd
541 | Snorlax | Brave | Sitrus Berry | Body Slam | Protect | Earthquake | Belly Drum | Atk/Def
542 | Kingdra | Mild | Haban Berry | Dragon Pulse | Waterfall | Ice Beam | Dragon Dance | HP/Atk/SpA
543 | Blissey | Modest | Custap Berry | Charge Beam | Shadow Ball | Grass Knot | Thunder Wave | Def/SpA
544 | Milotic | Quiet | Leftovers | Hydro Pump | Toxic | Attract | Aqua Ring | HP/Def
545 | Electivire | Adamant | Shuca Berry | Fire Punch | Electro Ball | Ice Punch | Protect | HP/Atk/Spd
546 | Magmortar | Modest | Wide Lens | Fire Blast | Flame Burst | Focus Blast | Taunt | Spd/SpA
547 | Haxorus | Naughty | Persim Berry | Outrage | Rock Slide | Counter | Dragon Dance | HP/Def/Spd
548 | Togekiss | Naughty | Liechi Berry | ExtremeSpeed | Aerial Ace | Psych Up | Brick Break | Atk/Spd
549 | Volcarona | Timid | Lum Berry | Bug Buzz | Flamethrower | Protect | Calm Mind | Spd/SpA
550 | Arcanine | Naughty | Fire Gem | ExtremeSpeed | Crunch | Overheat | Roar | Atk/Spd
551 | Archeops | Mild | Enigma Berry | Earthquake | Earth Power | Endeavor | AncientPower | Spd/SpA
552 | Dragonite | Mild | Salac Berry | Dragon Rush | Ice Beam | Thunderbolt | Safeguard | Spd/SpA
553 | Tyranitar | Hasty | King's Rock | Rock Slide | Crunch | Ice Beam | Dragon Dance | Atk/Spd
554 | Salamence | Lonely | Expert Belt | Dragon Claw | Zen Headbutt | Rock Slide | Dragon Dance | Atk/Spd/SpD
555 | Metagross | Quiet | Occa Berry | Psychic | Shadow Ball | Meteor Mash | Magnet Rise | HP/Atk/SpA
556 | Garchomp | Hasty | Razor Fang | Fire Blast | Incinerate | Surf | Scary Face | Spd/SpA
557 | Hydreigon | Mild | Wide Lens | Focus Blast | Fire Blast | Dragon Rush | Work Up | Atk/Spd/SpA
558 | Slaking | Jolly | Sitrus Berry | Retaliate | Night Slash | Slack Off | Amnesia | Atk/Spd
559 | Venusaur | Timid | Salac Berry | Energy Ball | Sludge Bomb | Grass Knot | Protect | Spd/SpA
560 | Charizard | Mild | Choice Scarf | Heat Wave | Rock Slide | Air Slash | Crunch | Atk/Spd/SpA
561 | Blastoise | Adamant | Leftovers | Fake Out | Earthquake | Aqua Tail | Avalanche | HP/Atk
562 | Meganium | Adamant | Light Clay | Seed Bomb | Earthquake | Reflect | Light Screen | HP/Atk
563 | Typhlosion | Modest | Choice Scarf | Eruption | Focus Blast | Heat Wave | Extrasensory | Spd/SpA
564 | Feraligatr | Adamant | Lum Berry | Aqua Jet | Waterfall | Earthquake | Ice Punch | HP/Atk/SpA/SpD
565 | Sceptile | Timid | White Herb | Leaf Storm | Dragon Pulse | Energy Ball | Detect | Spd/SpA
566 | Blaziken | Hardy | Choice Band | Flare Blitz | Shadow Claw | ThunderPunch | Earthquake | Atk/Spd
567 | Swampert | Adamant | Sitrus Berry | Earthquake | Avalanche | Waterfall | Stone Edge | HP/Atk
568 | Torterra | Adamant | Custap Berry | Earthquake | Crunch | Seed Bomb | Iron Head | Atk/SpD
569 | Infernape | Hasty | Life Orb | Fake Out | Close Combat | Overheat | Stone Edge | Atk/Spd
570 | Empoleon | Quiet | Lum Berry | Surf | Ice Beam | Signal Beam | Icy Wind | HP/SpA
571 | Serperior | Calm | BrightPowder | Leaf Storm | Substitute | Hyper Beam | Toxic | HP/Def/SpD
572 | Emboar | Adamant | Quick Claw | Flare Blitz | Brick Break | Flame Charge | Earthquake | Atk/Def/SpD
573 | Samurott | Adamant | Custap Berry | Aerial Ace | Waterfall | X-Scissor | Aqua Jet | Atk/Def/SpD
574 | Dugtrio | Jolly | Choice Band | Earthquake | Rock Slide | Reversal | Aerial Ace | Atk/Spd
575 | Marowak | Jolly | Thick Club | Earthquake | Stone Edge | Low Kick | Fire Punch | Atk/Spd
576 | Medicham | Jolly | Expert Belt | Hi Jump Kick | Zen Headbutt | Ice Punch | Bullet Punch | Atk/Spd
577 | Quagsire | Adamant | Rindo Berry | Earthquake | Aqua Tail | Ice Punch | Stone Edge | Atk/SpD
578 | Granbull | Adamant | Lum Berry | Double-Edge | Roar | Crunch | Sludge Bomb | Atk/SpD
579 | Jynx | Modest | Expert Belt | Icy Wind | Blizzard | Psychic | Focus Blast | Spd/SpA
580 | Mr. Mime | Timid | Lum Berry | Fake Out | Psychic | Signal Beam | Focus Blast | Spd/SpA
581 | Lanturn | Modest | Petaya Berry | Surf | Discharge | Thunder Wave | Ice Beam | Def/SpA/SpD
582 | Breloom | Jolly | Focus Sash | Spore | Focus Punch | Rock Slide | Seed Bomb | Atk/Spd
583 | Forretress | Brave | Iron Ball | Gyro Ball | Earthquake | Bug Bite | Explosion | HP/Atk
584 | Skarmory | Jolly | Choice Scarf | Brave Bird | Steel Wing | Night Slash | Rock Slide | Atk/Spd
585 | Absol | Jolly | Scope Lens | Night Slash | Zen Headbutt | Sucker Punch | Superpower | Atk/Spd
586 | Whiscash | Modest | Expert Belt | Earth Power | Surf | Blizzard | Protect | SpA/SpD
587 | Hariyama | Brave | Flame Orb | Fake Out | Close Combat | Detect | Earthquake | Atk/Def
588 | Vespiquen | Impish | Sitrus Berry | Attack Order | Defend Order | Roost | Confuse Ray | HP/Def/SpD
589 | Raichu | Jolly | Focus Sash | ThunderPunch | Reversal | Thunder Wave | Fake Out | Atk/Spd
590 | Dewgong | Mild | Quick Claw | Fake Out | Surf | Ice Beam | Aqua Jet | SpA/SpD
591 | Manectric | Timid | Air Balloon | Thunderbolt | Overheat | Volt Switch | Quick Attack | Spd/SpA
592 | Staraptor | Mild | Choice Band | Close Combat | Brave Bird | U-turn | Giga Impact | Atk/Spd
593 | Gastrodon | Quiet | Leftovers | Sandstorm | Earth Power | Surf | Recover | Def/SpA
594 | Skuntank | Jolly | Life Orb | Taunt | Sucker Punch | Foul Play | Poison Jab | Atk/Spd
595 | Throh | Adamant | Expert Belt | Earthquake | Storm Throw | Payback | Rock Slide | Atk/Def/SpD
596 | Sawk | Jolly | Expert Belt | Close Combat | Payback | Low Sweep | Earthquake | Atk/Spd
597 | Unfezant | Jolly | Power Herb | Sky Attack | Return | Detect | U-turn | Atk/Spd
598 | Vileplume | Modest | Big Root | Double Team | Ingrain | Toxic | Giga Drain | HP/SpA
599 | Victreebel | Modest | Focus Sash | Sunny Day | SolarBeam | Sludge Bomb | Weather Ball | Spd/SpA
600 | Electrode | Timid | Air Balloon | Thunderbolt | Mirror Coat | Signal Beam | Protect | Spd/SpA
601 | Ludicolo | Bold | Leftovers | Rain Dance | Leech Seed | Protect | Giga Drain | Def/SpA/SpD
602 | Shiftry | Hardy | Heat Rock | Sunny Day | SolarBeam | Dark Pulse | Explosion | Def/SpA
603 | Exploud | Adamant | Expert Belt | Earthquake | Brick Break | Ice Punch | Crunch | Atk/Def
604 | Lopunny | Jolly | Chople Berry | Encore | Fake Out | Focus Punch | Mirror Coat | HP/Spd
605 | Froslass | Timid | Icy Rock | Hail | Blizzard | Ice Shard | Shadow Ball | Spd/SpA
606 | Lilligant | Bold | Leftovers | Quiver Dance | Energy Ball | Leech Seed | Protect | HP/Def
607 | Darmanitan | Jolly | Liechi Berry | Flame Charge | Earthquake | Flare Blitz | Brick Break | Atk/Spd
608 | Ambipom | Jolly | Life Orb | Fake Out | Double Hit | Payback | Brick Break | Atk/Spd
609 | Cofagrigus | Quiet | Sitrus Berry | Will-O-Wisp | Shadow Ball | Destiny Bond | Trick Room | HP/SpA
610 | Golurk | Adamant | Lum Berry | DynamicPunch | Shadow Punch | Earthquake | Rock Slide | HP/Atk
611 | Durant | Jolly | Occa Berry | X-Scissor | Iron Head | Rock Slide | Shadow Claw | Atk/Spd
612 | Golem | Jolly | Focus Sash | Rock Slide | Earthquake | Explosion | Autotomize | Atk/Spd
613 | Slowbro | Bold | Leftovers | Psychic | Surf | Slack Off | Amnesia | HP/Def
614 | Weezing | Modest | Black Sludge | Sludge Bomb | Thunder | Fire Blast | Shadow Ball | HP/SpA
615 | Kangaskhan | Jolly | Chople Berry | Fake Out | Double-Edge | Circle Throw | Sucker Punch | Atk/Spd
616 | Tauros | Jolly | Life Orb | Double-Edge | Earthquake | Payback | Giga Impact | Atk/Spd
617 | Spiritomb | Careful | Leftovers | Will-O-Wisp | Shadow Sneak | Swagger | Psych Up | HP/SpD
618 | Cryogonal | Timid | Occa Berry | Icy Wind | Flash Cannon | Blizzard | Sheer Cold | Spd/SpA
619 | Druddigon | Adamant | Quick Claw | Crunch | Dragon Claw | Earthquake | Rock Slide | HP/Atk
620 | Musharna | Modest | Scope Lens | Psychic | Shadow Ball | Energy Ball | Yawn | Def/SpA
621 | Scrafty | Adamant | Muscle Band | Substitute | Payback | Hi Jump Kick | Focus Punch | HP/Atk
622 | Ferrothorn | Brave | Custap Berry | Protect | Payback | Explosion | Gyro Ball | HP/Atk
623 | Alakazam | Timid | Wise Glasses | Psychic | Focus Blast | Signal Beam | Grass Knot | Spd/SpA
624 | Slowking | Modest | Choice Specs | Psychic | Shadow Ball | Signal Beam | Focus Blast | SpA/SpD
625 | Miltank | Adamant | Scope Lens | Dizzy Punch | Fire Punch | ThunderPunch | Ice Punch | Atk/Def
626 | Altaria | Jolly | Power Herb | Dragon Dance | Dragon Rush | Sky Attack | Earthquake | Atk/Spd
627 | Toxicroak | Modest | Focus Sash | Sludge Bomb | Focus Blast | Shadow Ball | Dark Pulse | Spd/SpA
628 | Gothitelle | Modest | Sitrus Berry | Charm | Safeguard | Psychic | Charge Beam | HP/SpA
629 | Reuniclus | Quiet | Colbur Berry | Calm Mind | Psychic | Focus Blast | Shadow Ball | Def/SpA
630 | Bisharp | Jolly | Chople Berry | Iron Head | Night Slash | Low Sweep | Sucker Punch | Atk/Spd
631 | Abomasnow | Quiet | Focus Sash | Blizzard | Wood Hammer | Focus Blast | Ice Shard | HP/SpA
632 | Nidoqueen | Modest | Black Sludge | Sludge Bomb | Earth Power | Flamethrower | Ice Beam | HP/SpA
633 | Nidoking | Modest | Black Sludge | Earth Power | Sludge Bomb | Protect | Icy Wind | Spd/SpA
634 | Cradily | Relaxed | Leftovers | Sandstorm | Toxic | Protect | Earthquake | HP/Def
635 | Armaldo | Adamant | Life Orb | X-Scissor | Rock Slide | Earthquake | Iron Defense | HP/SpD
636 | Rampardos | Jolly | Choice Scarf | Head Smash | Earthquake | Brick Break | ThunderPunch | Atk/Spd
637 | Bastiodon | Careful | Leftovers | Stone Edge | Fissure | Double Team | Iron Defense | HP/SpD
638 | Floatzel | Hasty | Damp Rock | Surf | Ice Beam | Focus Blast | Rain Dance | Spd/SpA
639 | Mismagius | Timid | Sitrus Berry | Icy Wind | Shadow Ball | Thunderbolt | Destiny Bond | Spd/SpA
640 | Carracosta | Adamant | Damp Rock | Rain Dance | Waterfall | Rock Slide | Earthquake | Atk/Spd
641 | Escavalier | Brave | Life Orb | Megahorn | Iron Defense | Poison Jab | Iron Head | HP/Atk
642 | Accelgor | Timid | Focus Sash | U-turn | Bug Buzz | Focus Blast | Final Gambit | HP/Spd
643 | Zebstrika | Jolly | Air Balloon | Flame Charge | Toxic | Wild Charge | Volt Switch | Atk/Spd
644 | Drifblim | Timid | Wise Glasses | Shadow Ball | Thunderbolt | Icy Wind | Destiny Bond | Def/Spd
645 | Seismitoad | Timid | Damp Rock | Rain Dance | Muddy Water | Earth Power | Sludge Bomb | Spd/SpA
646 | Poliwrath | Adamant | Leftovers | Waterfall | Focus Punch | Encore | Substitute | HP/Atk
647 | Rapidash | Jolly | Focus Sash | Flare Blitz | Poison Jab | Iron Tail | Horn Drill | Atk/Spd
648 | Muk | Brave | Zoom Lens | Gunk Shot | Payback | Shadow Sneak | Curse | HP
649 | Gengar | Timid | Focus Sash | Shadow Ball | Taunt | Focus Blast | Counter | Spd/SpA
650 | Ampharos | Modest | Chesto Berry | Thunder Wave | Charge Beam | Hyper Beam | Rest | HP/SpA
651 | Politoed | Careful | Chesto Berry | Waterfall | Earthquake | Belly Drum | Rest | Atk/SpD
652 | Pinsir | Adamant | Lax Incense | X-Scissor | Superpower | Stone Edge | Giga Impact | Atk/Def
653 | Scizor | Brave | Life Orb | Swords Dance | Bullet Punch | Reversal | U-turn | HP/Atk
654 | Heracross | Jolly | Coba Berry | Megahorn | Stone Edge | Facade | Shadow Claw | Atk/Spd
655 | Ursaring | Adamant | Toxic Orb | Facade | Superpower | Crunch | Protect | HP/Atk
656 | Houndoom | Timid | Air Balloon | Flamethrower | Shadow Ball | Sludge Bomb | Will-O-Wisp | Spd/SpA
657 | Donphan | Brave | Sitrus Berry | Earthquake | Gyro Ball | Fire Fang | Thunder Fang | Atk/Def
658 | Wailord | Careful | Leftovers | Waterfall | Avalanche | Aqua Ring | Curse | Def/SpD
659 | Claydol | Modest | Ground Gem | Earth Power | Psychic | Ally Switch | Ice Beam | SpA/SpD
660 | Bronzong | Adamant | Quick Claw | Iron Head | Zen Headbutt | Earthquake | Explosion | HP/Atk
661 | Drapion | Jolly | Scope Lens | Cross Poison | Night Slash | Fire Fang | Earthquake | Atk/Spd
662 | Luxray | Adamant | White Herb | Thunder Fang | Ice Fang | Superpower | Thunder Wave | HP/Atk
663 | Ninetales | Timid | Wide Lens | Fire Blast | Extrasensory | Hypnosis | Disable | Spd/SpD
664 | Machamp | Jolly | Choice Scarf | DynamicPunch | Ice Punch | Rock Slide | Earthquake | Atk/Spd
665 | Shuckle | Relaxed | Lax Incense | Gyro Ball | Double Team | Substitute | Power Trick | HP/Def
666 | Roserade | Timid | White Herb | Leaf Storm | Sludge Bomb | Hyper Beam | GrassWhistle | Spd/SpA
667 | Honchkrow | Modest | Life Orb | Air Cutter | Dark Pulse | Snatch | Shadow Ball | HP/SpA
668 | Gigalith | Adamant | Custap Berry | Stone Edge | Earthquake | Sandstorm | Explosion | HP/Atk
669 | Conkeldurr | Adamant | Sitrus Berry | Bulk Up | Drain Punch | Payback | Stone Edge | Atk/SpD
670 | Excadrill | Adamant | BrightPowder | Sandstorm | Earthquake | Rock Slide | Poison Jab | Atk/Def/SpD
671 | Krookodile | Adamant | Dark Gem | Earthquake | Crunch | Stone Edge | Dragon Tail | Atk/SpD
672 | Steelix | Brave | Quick Claw | Gyro Ball | Earthquake | Stone Edge | Explosion | Atk/SpD
673 | Weavile | Jolly | Focus Sash | Fake Out | Ice Punch | Night Slash | Protect | Atk/Spd
674 | Gliscor | Adamant | Expert Belt | Aerial Ace | Earthquake | X-Scissor | Stone Edge | Atk/Def
675 | Zoroark | Jolly | Sitrus Berry | Swords Dance | Night Slash | U-turn | Sucker Punch | Atk/Spd
676 | Mandibuzz | Modest | Sitrus Berry | Nasty Plot | Dark Pulse | Air Slash | Incinerate | HP/Def/SpD
677 | Braviary | Adamant | Flying Gem | Brave Bird | Return | U-turn | Rock Slide | Atk/Spd
678 | Tentacruel | Modest | Focus Sash | Hydro Pump | Sludge Bomb | Giga Drain | Mirror Coat | HP/SpA
679 | Aerodactyl | Jolly | Rock Gem | Taunt | Earthquake | Rock Slide | Crunch | Atk/Spd
680 | Porygon2 | Modest | Choice Specs | Tri Attack | Thunderbolt | Psychic | Ice Beam | HP/SpA
681 | Lickilicky | Careful | Leftovers | Return | Gyro Ball | Curse | Rest | HP/SpD
682 | Yanmega | Modest | Lum Berry | Silver Wind | Air Slash | Detect | Giga Drain | Spd/SpA
683 | Gardevoir | Modest | BrightPowder | Psychic | Charge Beam | Energy Ball | Focus Blast | SpA/SpD
684 | Gallade | Adamant | Scope Lens | Psycho Cut | Stone Edge | Night Slash | X-Scissor | Atk/SpD
685 | Exeggutor | Modest | Expert Belt | Leaf Storm | Psychic | Sludge Bomb | AncientPower | HP/SpA
686 | Starmie | Timid | Focus Sash | Surf | Psychic | Power Gem | Signal Beam | Spd/SpA
687 | Flygon | Timid | White Herb | Draco Meteor | Earth Power | Flamethrower | Giga Drain | Spd/SpA
688 | Klinklang | Adamant | Occa Berry | Shift Gear | Gear Grind | Volt Switch | Giga Impact | Atk/Spd
689 | Chandelure | Modest | White Herb | Overheat | Shadow Ball | Protect | Will-O-Wisp | HP/SpA
690 | Vaporeon | Modest | Leftovers | Muddy Water | Blizzard | Aqua Ring | Yawn | HP/SpA
691 | Jolteon | Timid | King's Rock | Thunder | Shadow Ball | Rain Dance | Yawn | Spd/SpA
692 | Flareon | Brave | White Herb | Superpower | Return | Will-O-Wisp | Overheat | HP/Atk
693 | Espeon | Modest | Lum Berry | Psychic | Shadow Ball | Hyper Beam | Grass Knot | Spd/SpA
694 | Umbreon | Impish | Sitrus Berry | Faint Attack | Swagger | Psych Up | Screech | HP/Def
695 | Leafeon | Adamant | Heat Rock | Sunny Day | Leaf Blade | X-Scissor | Synthesis | Atk/Def
696 | Glaceon | Modest | Focus Sash | Hail | Blizzard | Mirror Coat | Hyper Beam | Def/SpA
697 | Lucario | Jolly | Muscle Band | Close Combat | Earthquake | Blaze Kick | Shadow Claw | Atk/Spd
698 | Hippowdon | Adamant | Sitrus Berry | Earthquake | Crunch | Slack Off | Yawn | Atk/SpD
699 | Probopass | Adamant | Scope Lens | Stone Edge | Iron Head | Earthquake | Explosion | Atk/Def
700 | Dusknoir | Sassy | Leftovers | Toxic | Will-O-Wisp | Protect | Double Team | HP/SpD
701 | Mienshao | Jolly | Focus Sash | Low Kick | Fake Out | Hi Jump Kick | U-turn | Atk/Spd
702 | Beartic | Adamant | Sitrus Berry | Swords Dance | Avalanche | Rock Slide | Brick Break | Atk/Def
703 | Bouffalant | Adamant | Sitrus Berry | Swords Dance | Earthquake | Head Charge | Payback | HP/Atk
704 | Aggron | Adamant | Steel Gem | Iron Tail | Dragon Rush | Avalanche | Aerial Ace | Atk/Def
705 | Walrein | Modest | Leftovers | Surf | Blizzard | Hail | Signal Beam | HP/SpA
706 | Mamoswine | Adamant | Lax Incense | Hail | Earthquake | Superpower | Fissure | HP/Atk
707 | Lapras | Modest | BrightPowder | Surf | Ice Beam | Thunderbolt | Psychic | HP/SpA
708 | Crobat | Jolly | Razor Claw | Cross Poison | Brave Bird | Zen Headbutt | X-Scissor | Atk/Spd
709 | Magnezone | Modest | BrightPowder | Charge Beam | Flash Cannon | Magnet Rise | Thunder Wave | Def/SpA
710 | Rhyperior | Impish | Focus Sash | Horn Drill | Avalanche | Payback | Counter | HP/Def
711 | Tangrowth | Modest | Heat Rock | Sunny Day | SolarBeam | Synthesis | Wring Out | Def/SpA
712 | Porygon-z | Modest | Expert Belt | Psychic | Ice Beam | Signal Beam | Charge Beam | HP/SpA
713 | Vanilluxe | Modest | Leftovers | Hail | Blizzard | Flash Cannon | Sheer Cold | HP/SpA
714 | Eelektross | Brave | Sitrus Berry | Brick Break | U-turn | Grass Knot | Wild Charge | HP/Atk
715 | Gyarados | Jolly | Wacan Berry | Dragon Dance | Waterfall | Stone Edge | Earthquake | Atk/Spd
716 | Snorlax | Adamant | Life Orb | Double-Edge | Earthquake | Crunch | Protect | Atk/Def
717 | Kingdra | Modest | Sitrus Berry | Rain Dance | Hydro Pump | Dragon Pulse | Ice Beam | HP/Spd/SpA
718 | Blissey | Bold | Leftovers | Thunderbolt | Ice Beam | Counter | Calm Mind | HP/Def
719 | Milotic | Calm | Wide Lens | Hydro Pump | Blizzard | Mirror Coat | Recover | SpA/SpD
720 | Electivire | Modest | Air Balloon | Thunderbolt | Psychic | Focus Blast | Signal Beam | Spd/SpA
721 | Magmortar | Jolly | Passho Berry | Flare Blitz | ThunderPunch | Earthquake | Brick Break | Spd
722 | Haxorus | Jolly | Choice Band | Outrage | Earthquake | Dragon Claw |  | Atk/Spd
723 | Togekiss | Modest | Wide Lens | Thunder Wave | Air Slash | Heat Wave | Water Pulse | Spd/SpA
724 | Volcarona | Bold | White Herb | Overheat | Quiver Dance | Bug Buzz | Protect | HP/Def
725 | Arcanine | Timid | White Herb | Overheat | Sunny Day | SolarBeam | Dragon Pulse | Spd/SpA
726 | Archeops | Jolly | Choice Band | Aerial Ace | Earthquake | Head Smash | U-turn | Atk/Spd
727 | Dragonite | Adamant | Choice Band | Outrage | Earthquake | Giga Impact | Superpower | Atk/SpD
728 | Tyranitar | Jolly | Chople Berry | Stone Edge | Crunch | Earthquake | Dragon Dance | Atk/Spd
729 | Salamence | Jolly | Yache Berry | Draco Meteor | Dragon Rush | Earthquake | Brick Break | Atk/Spd
730 | Metagross | Adamant | Occa Berry | Earthquake | Meteor Mash | Bullet Punch | Explosion | HP/Atk/SpD
731 | Garchomp | Adamant | Choice Scarf | Outrage | Earthquake | Fire Fang | Crunch | Atk/Spd
732 | Hydreigon | Timid | White Herb | Draco Meteor | Taunt | Earth Power | Flamethrower | Spd/SpA
733 | Slaking | Adamant | Choice Band | Giga Impact | Shadow Claw | Hammer Arm | Earthquake | HP/Atk
734 | Venusaur | Bold | Black Sludge | Leech Seed | Substitute | Sludge Bomb | Protect | HP/SpD
735 | Charizard | Adamant | Salac Berry | Belly Drum | Substitute | Fire Punch | Earthquake | HP/Atk/Spd
736 | Blastoise | Adamant | Custap Berry | Yawn | Waterfall | Focus Punch | Rock Slide | HP/Atk
737 | Meganium | Bold | Leftovers | Leech Seed | Ingrain | Toxic | Protect | Def/SpD
738 | Typhlosion | Modest | Power Herb | Extrasensory | Lava Plume | Bulldoze | SolarBeam | Spd/SpA
739 | Feraligatr | Adamant | Liechi Berry | Dragon Dance | Waterfall | Crunch | Substitute | Atk/Spd
740 | Sceptile | Calm | Leftovers | Leech Seed | Endeavor | Energy Ball | Toxic | Def/SpD
741 | Blaziken | Hardy | Shuca Berry | Flame Charge | Flare Blitz | ThunderPunch | Low Kick | Atk/Spd
742 | Swampert | Careful | Chesto Berry | Curse | Rest | Earthquake | Waterfall | HP/SpD
743 | Torterra | Hardy | Leftovers | Stockpile | Leech Seed | Earthquake | Protect | HP/SpD
744 | Infernape | Jolly | Focus Sash | Fake Out | Encore | Flare Blitz | Close Combat | Atk/Spd
745 | Empoleon | Calm | Petaya Berry | Surf | Substitute | Blizzard | Whirlpool | HP/SpA
746 | Serperior | Modest | Choice Specs | Leaf Storm |  |  |  | Spd/SpA
747 | Emboar | Timid | Salac Berry | Substitute | Flamethrower | Focus Blast | Scald | Spd/SpA
748 | Samurott | Modest | Salac Berry | Hydro Pump | Ice Beam | Grass Knot | Protect | Def/SpA/SpD
749 | Dugtrio | Jolly | BrightPowder | Toxic | Dig | Substitute | Sandstorm | Atk/Spd
750 | Marowak | Jolly | Thick Club | Earthquake | Outrage | Detect | Rock Slide | Atk/Spd
751 | Medicham | Adamant | Life Orb | Hi Jump Kick | Psycho Cut | Fake Out | Detect | Atk/Spd
752 | Quagsire | Careful | Leftovers | Curse | Amnesia | Earthquake | Waterfall | HP/SpD
753 | Granbull | Impish | Leftovers | Charm | Toxic | Dig | Protect | HP/Def
754 | Jynx | Timid | Wide Lens | Lovely Kiss | Blizzard | Psychic | Fake Out | Spd/SpA
755 | Mr. Mime | Bold | Light Clay | Light Screen | Reflect | Psychic | Signal Beam | HP/Def
756 | Lanturn | Bold | Chesto Berry | Stockpile | Rest | Charge Beam | Ice Beam | Def/SpD
757 | Breloom | Careful | Toxic Orb | Protect | Leech Seed | Substitute | Focus Punch | HP/Def/SpD
758 | Forretress | Careful | Custap Berry | Toxic Spikes | Stealth Rock | Spikes | Explosion | HP/SpD
759 | Skarmory | Careful | Lum Berry | Spikes | Stealth Rock | Whirlwind | Toxic | HP/SpD
760 | Absol | Jolly | BrightPowder | Substitute | Swagger | Punishment | Will-O-Wisp | Atk/Spd
761 | Whiscash | Calm | Leftovers | Rest | Sleep Talk | Fissure | Muddy Water | HP/Def/SpD
762 | Hariyama | Careful | Sitrus Berry | Belly Drum | Brick Break | Ice Punch | Bullet Punch | Def/SpD
763 | Vespiquen | Brave | Custap Berry | Attack Order | U-turn | Aerial Ace | Destiny Bond | HP/Atk
764 | Raichu | Timid | Lum Berry | Encore | Magnet Rise | Thunderbolt | Grass Knot | Spd/SpA
765 | Dewgong | Bold | Salac Berry | Rain Dance | Rest | Surf | Stockpile | HP/Def/SpD
766 | Manectric | Timid | Choice Scarf | Switcheroo | Thunder | Volt Switch | Overheat | Spd/SpA
767 | Staraptor | Jolly | Sitrus Berry | Brave Bird | Double-Edge | Roost | FeatherDance | Atk/Spd
768 | Gastrodon | Bold | Leftovers | Amnesia | Curse | Earthquake | Waterfall | Def/SpD
769 | Skuntank | Brave | Custap Berry | Night Slash | Poison Jab | Fire Blast | Explosion | Atk/Def/SpD
770 | Throh | Brave | Flame Orb | Protect | Earthquake | Storm Throw | Payback | Atk/SpD
771 | Sawk | Adamant | Life Orb | Close Combat | Bulldoze | Stone Edge | Taunt | Atk/Spd
772 | Unfezant | Impish | BrightPowder | Detect | FeatherDance | Toxic | Fly | HP/SpD
773 | Vileplume | Modest | Lum Berry | Giga Drain | SolarBeam | Teeter Dance | Sludge Bomb | Spd/SpA
774 | Victreebel | Modest | Life Orb | Weather Ball | SolarBeam | Sludge Bomb | Gastro Acid | Spd/SpA
775 | Electrode | Timid | Damp Rock | Rain Dance | Thunder | Taunt | Light Screen | Spd/SpA
776 | Ludicolo | Modest | Sitrus Berry | Fake Out | Hydro Pump | Leech Seed | Grass Knot | Spd/SpA
777 | Shiftry | Adamant | Focus Sash | Fake Out | Sucker Punch | Low Kick | Protect | Atk/Def
778 | Exploud | Timid | Life Orb | Icy Wind | Hyper Voice | Focus Blast | Shadow Ball | Spd/SpA
779 | Lopunny | Jolly | Flame Orb | Switcheroo | Mirror Coat | Protect | Dig | HP/Spd
780 | Froslass | Timid | Focus Sash | Blizzard | Icy Wind | Shadow Ball | Destiny Bond | Spd/SpA
781 | Lilligant | Bold | Lum Berry | SolarBeam | Teeter Dance | Charm | Leech Seed | HP/Def/Spd/SpA
